companies_mentioned,month,sector,sentiment_score,year
,02,Retail,0.9945,20
"Equinix, Inc., Data Center",01,,0.9348,20
"Healthpeak Properties, Inc., Health Care",01,,0.9794,20
"STAG Industrial, Inc., Industrial",01,,0.9874,20
,01,,0.9257,20
"Independence Realty Trust, Residential",01,,0.9722,20
,03,Infrastructure,0.8074,20
,03,,-0.7641,20
"NNN REIT, Inc., Retail",01,,0.9594,20
"CorEnergy Infrastructure Trust, Infrastructure",01,,0.9557,20
,03,Office,0.4633,20
,03,Retail,0.1779,20
,04,,0.2516,20
"Digital Realty, Data Center",02,,0.7778,20
,04,,-0.5067,20
,04,Industrial,0.569,20
,04,Retail,-0.624,20
,04,Data Center,0.9674,20
,04,,0.9894,20
"Ventas, Inc., Health Care",02,,0.7783,20
,05,Office,0.9851,20
,05,,0.6897,20
,05,,0.9048,20
"BXP, Office",02,,0.9729,20
"Vornado Realty Trust, Diversified",02,,0.9169,20
,05,,0.4767,20
"American Tower Corporation, Infrastructure",05,,0.961,20
"Crown Castle Inc., Infrastructure",05,,0.9806,20
"Iron Mountain, Specialty",05,,0.9802,20
"STAG Industrial, Inc., Industrial",05,,0.5916,20
"Kimco Realty Corporation, Retail",05,,0.9651,20
,06,,0.9109,20
"CubeSmart, Self-storage",05,,0.8479,20
"Armada Hoffler Properties, Inc., Diversified",05,,0.7906,20
,06,,0.9671,20
,06,,0.9552,20
,06,,0.9228,20
,06,Residential,0.9838,20
,06,"Data Center,Health Care,Industrial,Infrastructure,Residential",0.994,20
"Safehold Inc., Specialty",05,,0.9691,20
"Agree Realty Corporation, Retail",05,,0.9914,20
"Prologis, Inc., Industrial",06,,0.9877,20
,06,,0.9489,20
"Regency Centers Corporation, Retail",05,,0.9553,20
"National Storage Affiliates, Self-storage",06,,0.9709,20
,06,,0.9879,20
,06,Retail,-0.6908,20
"The Necessity Retail REIT, Inc., Retail",06,,0.9239,20
"STORE Capital Corporation, Retail",06,,0.7579,20
,06,,0.5537,20
,06,,0.8734,20
"Host Hotels & Resorts, Inc., Lodging/Resorts",06,,0.7172,20
,06,,0.9668,20
"Gladstone Land Corporation, Specialty",06,,0.8908,20
,06,,0.9757,20
"W. P. Carey Inc., Diversified",06,,0.9927,20
,06,,0.8513,20
"Global Net Lease, Diversified",06,,0.529,20
"Easterly Government Properties, Office",06,,0.8934,20
"Corporate Office Properties Trust, Office",06,,0.5116,20
"BXP, Office",06,,0.9675,20
,06,,0.9899,20
,06,,0.9,20
,06,,0.9606,20
"Realty Income Corporation, Diversified",06,,0.9531,20
,06,,0.6908,20
,06,,0.9761,20
,07,,0.9451,20
"MAA, Residential",06,,0.9348,20
,07,,0.8807,20
,07,,0.889,20
,07,,0.9428,20
"UMH Properties, Inc., Residential",06,,0.8718,20
,07,Health Care,0.9997,20
,07,Residential,0.9997,20
,07,Industrial,0.9994,20
,07,Industrial,0.5154,20
"Hersha Hospitality Trust, Lodging/Resorts",06,,0.9746,20
,07,,0.998,20
,08,Lodging/Resorts,0.9794,20
,08,,0.9743,20
,09,Office,0.9022,20
,09,Residential,0.9144,20
"Piedmont Office Realty Trust, Inc., Office",06,,0.9869,20
,10,,0.91,20
"Kimco Realty Corporation, Retail,Healthpeak Properties, Inc., Health Care",07,,0.856,20
,10,,0.9897,20
,11,,0.9805,20
,11,,0.8801,20
,11,,0.9201,20
"NexPoint Residential Trust Inc., Residential",09,,0.9537,20
"AvalonBay Communities, Inc., Residential,Ventas, Inc., Health Care",08,,0.4785,20
"BXP, Office",09,,0.9628,20
,11,,0.9432,20
"Broadstone Net Lease, Inc., Diversified",11,,0.9852,20
,11,,0.745,20
"Kilroy Realty Corporation, Office",10,,0.296,20
,11,,0.7729,20
,11,,0.9061,20
"Kimco Realty Corporation, Retail",11,,0.7579,20
"Sabra Health Care REIT, Inc., Health Care",11,,0.9821,20
"Pebblebrook Hotel Trust, Lodging/Resorts",11,,0.9633,20
"Agree Realty Corporation, Retail",11,,0.9727,20
"STORE Capital Corporation, Retail",12,,0.9062,20
"BXP, Office",11,,0.1779,20
"Chatham Lodging Trust, Lodging/Resorts",11,,0.936,20
"Alexander & Baldwin, Inc., Diversified",12,,0.9869,20
,12,,0.9798,20
"Blackstone Real Estate Income Trust, Inc., Specialty",11,,0.9996,20
"Kilroy Realty Corporation, Office,Kimco Realty Corporation, Retail,Alexandria Real Estate Equities, Inc., Office,JBG SMITH, Diversified,Prologis, Inc., Industrial,BXP, Office,Digital Realty, Data Center",01,,0.9836,21
"EastGroup Properties, Inc., Industrial",11,,0.9341,20
,01,,0.9757,21
"KKR Real Estate Finance Trust Inc., Mortgage",11,,0.9611,20
"Acadia Realty Trust, Retail",12,,-0.0451,20
"Prologis, Inc., Industrial",12,,0.9904,20
,03,,0.8173,21
,03,,0.9971,21
,03,,0.8957,21
"Corporate Office Properties Trust, Office",12,Office,0.9169,20
,03,,0.8601,21
,03,,0.3088,21
,03,,0.9648,21
"The Necessity Retail REIT, Inc., Retail",12,Retail,0.9213,20
"Safehold Inc., Specialty",04,,0.9805,21
"Realty Income Corporation, Diversified",04,,0.9929,21
"The Howard Hughes Corporation, Diversified",12,Retail,0.9638,20
"Host Hotels & Resorts, Inc., Lodging/Resorts,JBG SMITH, Diversified",03,,0.9991,21
,05,,0.9607,21
"Xenia Hotels & Resorts, Inc., Lodging/Resorts,JBG SMITH, Diversified,SITE Centers Corp., Retail,Safehold Inc., Specialty,RPAI, Retail,Four Corners Property Trust, Retail,Hudson Pacific Properties, Inc., Office,Elme Communities, Residential,Americold Realty Trust, Industrial,Prologis, Inc., Industrial,Digital Realty, Data Center,Healthpeak Properties, Inc., Health Care,Equity Residential, Residential,BXP, Office,American Tower Corporation, Infrastructure,Kilroy Realty Corporation, Office,Paramount Group, Inc., Office",03,,0.9933,21
,05,,0.9643,21
"BXP, Office,Equity Residential, Residential,Kilroy Realty Corporation, Office,Hudson Pacific Properties, Inc., Office,Regency Centers Corporation, Retail,Ventas, Inc., Health Care,Prologis, Inc., Industrial",04,,0.4917,21
"Kimco Realty Corporation, Retail",04,,0.9882,21
,05,,0.9348,21
"Kilroy Realty Corporation, Office,Vornado Realty Trust, Diversified,SL Green Realty Corp., Office,Office Properties Income Trust, Office,BXP, Office,Hudson Pacific Properties, Inc., Office,Welltower Inc., Health Care,Digital Realty, Data Center,Empire State Realty Trust, Office,Physicians Realty Trust, Health Care,Piedmont Office Realty Trust, Inc., Office,Ventas, Inc., Health Care",04,,0.9992,21
,03,,0.9907,21
,03,,0.9923,21
"Corporate Office Properties Trust, Office",04,,0.8689,21
,03,,0.967,21
"Equity Commonwealth, Office",05,,0.9815,21
,03,,0.9755,21
,03,,0.9549,21
"Macerich, Retail",05,,0.9951,21
,03,,0.9744,21
,03,,0.977,21
,03,,0.8882,21
,03,,0.8883,21
,03,,0.9908,21
"Rayonier Inc., Timberlands",05,Timberlands,0.9052,21
"Office Properties Income Trust, Office",03,Office,0.9477,21
"Industrial Logistics Properties Trust, Industrial",03,Industrial,0.7269,21
"Diversified Healthcare Trust, Health Care",03,Health Care,0.9741,21
,03,,-0.0039,21
,01,,0.9416,21
"RPAI, Retail",03,,0.796,21
,01,,0.9552,21
"Lamar Advertising Company, Specialty",03,,0.9647,21
,01,,0.982,21
"American Tower Corporation, Infrastructure",03,,0.7269,21
,02,,0.8522,21
"Host Hotels & Resorts, Inc., Lodging/Resorts",03,Lodging/Resorts,0.98,21
"Elme Communities, Residential",03,,-0.4763,21
"UMH Properties, Inc., Residential",01,Residential,0.7351,21
"INDUS RealtyTrust, Inc., Industrial",01,,0.9451,21
,02,,0.8954,21
"Kimco Realty Corporation, Retail",01,,0.9929,21
"Host Hotels & Resorts, Inc., Lodging/Resorts",02,,0.2732,21
"Ventas, Inc., Health Care",02,,0.0,21
,02,,0.9545,21
"BXP, Office",02,,0.0,21
,02,,0.9371,21
"Hudson Pacific Properties, Inc., Office",02,Office,0.8883,21
"Camden Property Trust, Residential",06,,0.0754,21
"AvalonBay Communities, Inc., Residential",02,Residential,-0.2023,21
"Healthpeak Properties, Inc., Health Care",02,Health Care,0.6597,21
"Aimco, Residential",02,,0.4967,21
"Simon Property Group, Inc., Retail",02,,0.989,21
,02,,0.9381,21
,06,,0.9529,21
"Service Properties Trust, Lodging/Resorts",06,Lodging/Resorts,0.9501,21
"Apple Hospitality REIT, Inc., Lodging/Resorts",06,,0.9584,21
,06,,0.9509,21
,07,,0.9729,21
"Broadstone Net Lease, Inc., Diversified",06,,0.8977,21
"W. P. Carey Inc., Diversified",06,,0.9903,21
,07,,0.9022,21
"STAG Industrial, Inc., Industrial",06,,0.6124,21
,07,,0.8979,21
"UMH Properties, Inc., Residential",06,,0.9359,21
,07,,0.9442,21
,08,,0.9704,21
,05,,0.7717,21
"Host Hotels & Resorts, Inc., Lodging/Resorts",05,Lodging/Resorts,0.9606,21
"Kite Realty Group Trust, Retail",06,,0.9756,21
"Corporate Office Properties Trust, Office",06,,0.9618,21
"Iron Mountain, Specialty",06,Specialty,0.9856,21
"Ventas, Inc., Health Care,New Senior Investment Group, Health Care",06,,0.9856,21
"Regency Centers Corporation, Retail",06,Retail,0.9898,21
"Kite Realty Group Trust, Retail,RPAI, Retail",07,,0.9761,21
"RLJ Lodging Trust, Lodging/Resorts",05,,0.8176,21
,06,,0.9637,21
,06,,0.9528,21
"RLJ Lodging Trust, Lodging/Resorts",06,,0.8476,21
"New Senior Investment Group, Health Care",05,,0.9612,21
"RLJ Lodging Trust, Lodging/Resorts",06,,0.9531,21
,06,,0.8834,21
"MAA, Residential",06,,0.9661,21
"RLJ Lodging Trust, Lodging/Resorts",06,,0.8788,21
"Ventas, Inc., Health Care",06,,0.9842,21
,04,,0.9864,22
,04,,0.902,22
"Iron Mountain, Specialty",06,,0.9742,21
"Invitation Homes, Residential",06,Residential,0.9855,21
,04,,0.7713,22
,04,,0.8985,22
"LTC Properties, Inc., Health Care,NETSTREIT, Retail,Brixmor Property Group Inc., Retail,Iron Mountain, Specialty,Camden Property Trust, Residential",06,,0.9657,21
,04,,0.9516,22
,04,,0.8864,22
,04,,0.807,22
"Host Hotels & Resorts, Inc., Lodging/Resorts",06,,0.9834,21
,04,,0.9712,22
,04,,0.9371,22
,04,,0.9485,22
"LTC Properties, Inc., Health Care",06,Health Care,0.9798,21
,04,,0.7906,22
"RLJ Lodging Trust, Lodging/Resorts",06,,0.998,21
,04,,0.4767,22
,04,,0.9796,22
,04,,0.8176,22
,04,,0.796,22
,08,,0.9313,21
"STORE Capital Corporation, Retail",04,,0.872,22
,08,,0.9832,21
,09,,0.971,21
,09,,0.9856,21
,09,,0.7441,21
,09,,0.9428,21
,09,,0.9231,21
,09,,-0.5423,21
,09,,0.819,21
,09,,0.5859,21
"Hudson Pacific Properties, Inc., Office",04,,0.9876,22
,09,,0.9231,21
"Xenia Hotels & Resorts, Inc., Lodging/Resorts",04,,0.9001,22
,09,,0.743,21
,08,,0.9941,21
"ACRES Commercial Realty Corp., Mortgage",08,,0.9132,21
,09,,0.9664,21
,10,,0.9107,21
,10,,0.9657,21
"Prologis, Inc., Industrial",08,,0.9813,21
,10,,0.9852,21
"Equity Residential, Residential,Hudson Pacific Properties, Inc., Office,Kimco Realty Corporation, Retail,Invitation Homes, Residential",11,,0.7838,21
"Iron Mountain, Specialty",09,,0.9783,21
"Industrial Logistics Properties Trust, Industrial,Equity Commonwealth, Office",11,,0.9803,21
"Public Storage, Self-storage",09,,0.9028,21
"Hudson Pacific Properties, Inc., Office",09,,0.9451,21
,11,,0.9665,21
,11,,0.296,21
"Hudson Pacific Properties, Inc., Office",09,Office,0.9822,21
,11,,0.926,21
"Prologis, Inc., Industrial",10,,0.9605,21
,11,,0.9824,21
"Farmland Partners Inc., Specialty,Gladstone Land Corporation, Specialty",10,,-0.033,21
,02,,0.9786,22
"Pebblebrook Hotel Trust, Lodging/Resorts",11,Lodging/Resorts,0.9913,21
,02,,0.9213,22
"BXP, Office",11,,0.9638,21
"Camden Property Trust, Residential",11,,0.8313,21
"Braemar Hotels & Resorts, Inc., Lodging/Resorts",11,,0.9562,21
"Equity LifeStyle Properties, Inc., Residential,JBG SMITH, Diversified,Realty Income Corporation, Diversified,SBA Communications Corporation, Infrastructure,EastGroup Properties, Inc., Industrial",11,,-0.6045,21
,03,,0.7612,22
,03,Office,0.4588,22
"Brixmor Property Group Inc., Retail",11,,0.975,21
,03,,0.942,22
,03,,0.5262,22
"Healthpeak Properties, Inc., Health Care",11,,0.9626,21
,04,,0.9509,22
"Invitation Homes, Residential",03,,0.9908,22
"UMH Properties, Inc., Residential",02,,0.9819,22
"Prologis, Inc., Industrial",03,,0.9773,22
"Equity Residential, Residential",04,,0.9986,22
,04,,0.1531,22
,04,,0.872,22
,04,,0.9899,22
"Camden Property Trust, Residential",03,,0.9758,22
,04,,0.8176,22
,11,,0.7351,21
"Apartment Income REIT Corp., Residential,AvalonBay Communities, Inc., Residential,Brandywine Realty Trust, Office,Equity Residential, Residential,Host Hotels & Resorts, Inc., Lodging/Resorts,Iron Mountain, Specialty,LXP Industrial Trust, Industrial,MAA, Residential,NNN REIT, Inc., Retail,Park Hotels & Resorts, Lodging/Resorts,Regency Centers Corporation, Retail,RPT Realty, Retail,STORE Capital Corporation, Retail,Urban Edge Properties, Retail,W. P. Carey Inc., Diversified,Xenia Hotels & Resorts, Inc., Lodging/Resorts",03,,0.9994,22
"Brixmor Property Group Inc., Retail,Equity Residential, Residential,Ventas, Inc., Health Care",11,,0.9976,21
,11,,0.9829,21
"Urban Edge Properties, Retail",04,,0.9042,22
"Brandywine Realty Trust, Office",04,,0.9152,22
"Host Hotels & Resorts, Inc., Lodging/Resorts",04,,0.8555,22
,11,,0.9954,21
,11,,0.8418,21
,11,,0.923,21
"EPR Properties, Specialty",11,,0.9244,21
"W. P. Carey Inc., Diversified",11,,0.7964,21
,12,,0.9918,21
"Centerspace, Residential",11,,0.9017,21
"Agree Realty Corporation, Retail",11,,0.9647,21
,12,,0.9833,21
,12,,0.945,21
"American Tower Corporation, Infrastructure",11,,0.9861,21
"Ashford Hospitality Trust, Lodging/Resorts",11,,-0.0478,21
,12,,0.9422,21
"KKR Real Estate Finance Trust Inc., Mortgage",12,,0.9729,21
,12,,0.9887,21
"Office Properties Income Trust, Office",12,Office,0.9061,21
"Kite Realty Group Trust, Retail",12,Retail,0.9742,21
"MAA, Residential",12,Residential,0.9509,21
"Safehold Inc., Specialty",12,Specialty,0.9862,21
,12,,-0.7539,21
,12,,0.9412,21
"Kimco Realty Corporation, Retail",12,Retail,0.9914,21
,01,,0.9542,22
,01,,0.9246,22
"JBG SMITH, Diversified",12,Diversified,0.9657,21
,01,,0.9612,22
,02,,0.9532,22
"Tanger Outlets, Retail",12,Retail,0.9238,21
,02,,0.8545,22
"Phillips Edison & Co., Retail",12,Retail,0.9297,21
,02,,0.9559,22
"The Necessity Retail REIT, Inc., Retail",01,,0.9841,22
"Hudson Pacific Properties, Inc., Office",01,,0.8536,22
"Federal Realty Investment Trust, Retail",01,,0.9468,22
"Healthpeak Properties, Inc., Health Care",02,,0.8872,22
"Prologis, Inc., Industrial",02,,0.8591,22
,12,,0.7501,19
,07,,0.954,19
,05,,0.8387,19
,05,,0.8655,19
,03,,0.9318,19
,01,,0.8518,19
,12,,0.9887,18
,11,,0.9448,18
"Kilroy Realty Corporation, Office",07,,0.749,19
,10,"Health Care,Industrial,Infrastructure,Retail",0.886,18
,11,Health Care,0.994,18
,07,Retail,0.9792,18
,07,,0.7935,18
"Clipper Realty Inc., Residential",06,,0.891,19
,06,Lodging/Resorts,0.9948,18
,06,,0.945,18
,05,Lodging/Resorts,0.9886,18
"American Tower Corporation, Infrastructure",05,,0.7906,19
,06,,0.9927,18
,06,,0.9865,18
,06,Office,0.987,18
,06,Health Care,0.9865,18
,06,Lodging/Resorts,0.9363,18
"Hudson Pacific Properties, Inc., Office",12,,0.7277,18
"Digital Realty, Data Center",12,,0.5719,18
,06,,0.8834,18
,06,,0.9581,18
,04,,0.7884,18
,04,,0.8516,18
,04,,0.8837,18
,06,,0.9848,18
,04,,0.7506,18
,04,,0.9711,18
"Sotherly Hotels Inc., Lodging/Resorts",06,,0.8481,18
,04,,0.8953,18
,04,,0.8777,18
"The Howard Hughes Corporation, Diversified",07,,0.9753,18
,04,,0.6605,18
,04,,0.7615,18
,04,,0.8858,18
,04,,0.936,18
,04,,0.8801,18
,04,Industrial,0.9954,18
,05,,0.8591,18
,05,,0.9851,18
,05,Industrial,0.9901,18
,06,,0.9371,18
,06,,0.9791,18
,06,,0.9123,18
,06,,0.9402,18
,06,Diversified,0.9984,18
,06,,0.9371,18
,06,,0.7425,18
"Iron Mountain, Specialty",04,,-0.0754,18
,06,,0.9739,18
,06,,0.9393,18
"Park Hotels & Resorts, Lodging/Resorts,Rayonier Inc., Timberlands",04,,0.9274,18
,06,,0.9799,18
,05,,0.3,18
,06,,0.9081,18
"Equity Residential, Residential",04,,0.9274,18
"Urstadt Biddle Properties, Inc., Retail",06,,0.1531,18
"BXP, Office",06,,0.1154,18
"CBL Properties, Retail",06,,0.936,18
"CubeSmart, Self-storage",06,,0.891,18
"Federal Realty Investment Trust, Retail",06,,0.8659,18
"Regency Centers Corporation, Retail",06,,0.4767,18
"Braemar Hotels & Resorts, Inc., Lodging/Resorts",06,,0.8779,18
,06,Residential,0.9877,18
"STORE Capital Corporation, Retail",06,,0.9733,18
,06,Retail,0.9959,18
,06,,0.9771,18
,06,,0.6074,18
,06,,0.9023,18
"National Storage Affiliates, Self-storage",06,,0.1496,18
"Rayonier Inc., Timberlands",06,,0.9286,18
,06,,0.8834,18
"LXP Industrial Trust, Industrial",06,,0.9764,18
"American Assets Trust, Diversified",06,,0.9794,18
"InvenTrust Properties Corp., Retail",06,,0.91,18
,07,,0.9977,18
,07,,0.9465,18
,07,,0.8588,18
,07,,0.9531,18
"UMH Properties, Inc., Residential",06,,0.9382,18
"CorEnergy Infrastructure Trust, Infrastructure",06,,0.9694,18
,07,,0.9756,18
"Getty Realty Corp., Retail",06,,0.9507,18
"Empire State Realty Trust, Office",07,,0.9804,18
,07,,0.8658,18
"Extra Space Storage, Inc., Self-storage",07,,0.4767,18
"RPAI, Retail",07,,0.9657,18
,07,,0.9766,18
"STAG Industrial, Inc., Industrial",07,,0.4364,18
,07,"Office,Residential,Retail",0.9928,18
"PREIT, Retail",07,,0.802,18
,08,"Data Center,Retail",0.7458,18
"Centerspace, Residential",07,,0.9118,18
,08,,0.85,18
"Apple Hospitality REIT, Inc., Lodging/Resorts",07,,0.926,18
,07,,0.899,18
"Piedmont Office Realty Trust, Inc., Office",08,,0.9908,18
,09,Residential,0.9843,18
,09,,0.992,18
,09,Lodging/Resorts,0.9931,18
"Plymouth Industrial REIT, Inc., Industrial",07,,0.9181,18
,09,,0.9884,18
,10,,0.6908,18
,10,,0.9953,18
"Safehold Inc., Specialty",08,,0.9944,18
,10,,0.9582,18
,11,,0.9847,18
"Equinix, Inc., Data Center",08,,0.9545,18
,11,,0.9981,18
,11,,0.9186,18
,11,,0.9865,18
,11,,0.9895,18
"National Health Investors, Inc., Health Care",08,,0.8779,18
,11,,0.9949,18
,11,,0.9136,18
"Alexandria Real Estate Equities, Inc., Office",08,,0.9983,18
,11,"Office,Residential,Retail",0.9966,18
"Essex Property Trust, Inc., Residential",08,,0.93,18
,11,,0.9231,18
,11,,0.9674,18
"PREIT, Retail",11,,0.9799,18
,11,,0.872,18
,11,,0.9885,18
,11,,0.7874,18
"W. P. Carey Inc., Diversified",11,,0.9775,18
"STORE Capital Corporation, Retail",11,,0.7893,18
"Highwoods Properties, Inc., Office",11,,0.9118,18
"Camden Property Trust, Residential",11,,0.9788,18
"National Storage Affiliates, Self-storage",11,,-0.0498,18
,12,,0.9432,18
,12,,-0.6451,18
,12,,0.9747,18
"Equity Residential, Residential",11,,0.9838,18
,12,,0.9792,18
,12,,0.8591,18
"Regency Centers Corporation, Retail",11,,0.9167,18
"UDR, Inc., Residential",11,,0.891,18
,12,,0.9525,18
"Alexandria Real Estate Equities, Inc., Office",12,,0.9883,18
"Physicians Realty Trust, Health Care",12,,0.9814,18
,12,,0.9852,18
"LTC Properties, Inc., Health Care",12,,0.9306,18
"NNN REIT, Inc., Retail",12,,0.9584,18
,12,,0.9332,18
"Chatham Lodging Trust, Lodging/Resorts",12,,0.9728,18
"Apple Hospitality REIT, Inc., Lodging/Resorts",12,,0.9897,18
"Clipper Realty Inc., Residential",12,,0.7713,18
"Hersha Hospitality Trust, Lodging/Resorts",12,,0.9906,18
"Braemar Hotels & Resorts, Inc., Lodging/Resorts",12,,0.9859,18
,12,,0.7845,18
"Kimco Realty Corporation, Retail",12,,0.9627,18
"Kite Realty Group Trust, Retail",12,,0.9637,18
"Agree Realty Corporation, Retail",12,,0.9806,18
"STAG Industrial, Inc., Industrial",12,,0.8658,18
,01,,0.9877,19
"DiamondRock Hospitality Company, Lodging/Resorts",12,,0.9493,18
,01,,0.9239,19
,01,,0.8655,19
,02,,0.9732,19
"Piedmont Office Realty Trust, Inc., Office",12,,0.9081,18
,02,,0.93,19
"Alexander & Baldwin, Inc., Diversified",12,,0.9702,18
,02,,0.8689,19
"Extra Space Storage, Inc., Self-storage",12,,0.7964,18
"UMH Properties, Inc., Residential",01,,0.9359,19
,02,,0.9524,19
"Realty Income Corporation, Diversified",01,,0.966,19
"Omega Healthcare Investors, Inc., Health Care",01,,0.9833,19
"Simon Property Group, Inc., Retail",02,,0.8519,19
,02,Retail,0.9738,19
"SITE Centers Corp., Retail",02,,0.8935,19
"Digital Realty, Data Center",02,,0.9744,19
"Federal Realty Investment Trust, Retail",02,,0.8555,19
,02,,0.9888,19
"Hersha Hospitality Trust, Lodging/Resorts",02,,0.9851,19
"AvalonBay Communities, Inc., Residential",02,,0.9623,19
,02,,0.9153,19
"Host Hotels & Resorts, Inc., Lodging/Resorts",02,,0.989,19
,02,,0.9428,19
"BXP, Office",03,,0.9922,19
,01,,0.9708,19
"Kilroy Realty Corporation, Office",02,,0.9586,19
"Elme Communities, Residential",02,,0.7311,19
"Kimco Realty Corporation, Retail",02,,0.9568,19
,01,,0.9997,19
"Vornado Realty Trust, Diversified",02,,0.969,19
"Brixmor Property Group Inc., Retail",01,,0.9152,19
"CBL Properties, Retail",01,,0.7623,19
"Global Net Lease, Diversified",01,,0.4215,19
,01,"Industrial,Residential,Retail",0.959,19
"ShopOne Centers REIT, Inc., Retail",01,,0.9506,19
"Essential Properties Realty Trust, Inc., Retail",01,,0.775,19
"Farmland Partners Inc., Specialty",01,,-0.4366,19
"Getty Realty Corp., Retail",01,,0.8807,19
,01,,0.9583,19
,01,,0.8655,19
,01,,0.2617,19
"American Assets Trust, Diversified",01,,0.9469,19
,01,,0.9854,19
,03,,0.9422,19
,03,,0.9663,19
"MAA, Residential",01,,0.9682,19
,03,,0.1331,19
"Broadstone Net Lease, Inc., Diversified",01,,0.8545,19
,03,,0.9716,19
"CorEnergy Infrastructure Trust, Infrastructure",01,,0.9505,19
"Equity Commonwealth, Office",01,,0.9815,19
,03,Office,0.9856,19
,04,,0.9099,19
,04,,0.9692,19
,04,,-0.4404,19
"CorEnergy Infrastructure Trust, Infrastructure",03,,0.9806,19
,04,,0.2973,19
,04,,0.9545,19
"Alexandria Real Estate Equities, Inc., Office",03,,0.9273,19
"First Industrial Realty Trust, Inc., Industrial",03,,0.7543,19
"Alexandria Real Estate Equities, Inc., Office",03,,0.9239,19
"NNN REIT, Inc., Retail",03,,0.9816,19
,04,,0.944,19
,04,,0.0,19
,04,,0.8634,19
,04,,-0.4201,19
,04,,0.4005,19
,04,,0.872,19
"Regency Centers Corporation, Retail",04,,-0.296,19
,04,,0.1027,19
,04,,0.8885,19
,04,,0.886,19
,04,,0.8588,19
,04,,0.4215,19
,04,,0.9396,19
"Prologis, Inc., Industrial,Host Hotels & Resorts, Inc., Lodging/Resorts,Iron Mountain, Specialty,Ventas, Inc., Health Care",04,,0.9581,19
,04,,0.9422,19
,04,,0.7501,19
"Healthpeak Properties, Inc., Health Care",04,,0.9802,19
,04,,-0.1793,19
,05,,0.7914,19
,05,,0.991,19
,05,,0.8873,19
,05,Lodging/Resorts,0.9517,19
"Kimco Realty Corporation, Retail",04,,0.9392,19
,05,,0.9477,19
,05,,0.7269,19
"Host Hotels & Resorts, Inc., Lodging/Resorts",04,,-0.25,19
,05,,0.9638,19
"Welltower Inc., Health Care",04,,0.8494,19
"Kimco Realty Corporation, Retail,Digital Realty, Data Center,Host Hotels & Resorts, Inc., Lodging/Resorts",04,,0.866,19
,05,,0.8355,19
,05,,0.8488,19
,05,,0.959,19
,05,,0.872,19
,05,,0.4215,19
,05,,0.875,19
,05,,0.743,19
,05,,0.9808,19
"Regency Centers Corporation, Retail",05,,0.8977,19
,05,,0.9795,19
,06,Residential,0.9823,19
,06,Office,0.9833,19
"Park Hotels & Resorts, Lodging/Resorts",05,,0.8442,19
,05,"Data Center,Industrial,Infrastructure",0.9909,19
"BXP, Office",06,,0.7391,19
,06,,0.9042,19
,06,,0.9246,19
"Cousins Properties, Office",05,,-0.0258,19
"Brixmor Property Group Inc., Retail",06,,0.9644,19
"The Necessity Retail REIT, Inc., Retail",06,,0.9708,19
"Ventas, Inc., Health Care",06,,0.9509,19
,06,,0.8402,19
"Realty Income Corporation, Diversified",06,,0.7949,19
"Safehold Inc., Specialty",06,,0.9845,19
,06,"Residential,Retail",0.9913,19
"Urstadt Biddle Properties, Inc., Retail",06,,0.764,19
"National Storage Affiliates, Self-storage",06,,0.6808,19
"BXP, Office",06,,0.2617,19
"Broadstone Net Lease, Inc., Diversified",06,,0.5574,19
"UMH Properties, Inc., Residential",06,,0.9413,19
,06,,0.9911,19
"Global Net Lease, Diversified",06,,0.8176,19
,06,,0.2023,19
"Global Medical REIT, Health Care",06,,0.9792,19
,07,,0.6369,19
,06,,-0.765,19
"Regency Centers Corporation, Retail",06,,0.8805,19
"Plymouth Industrial REIT, Inc., Industrial",07,,0.9324,19
,07,,0.9595,19
"Sabra Health Care REIT, Inc., Health Care",06,,0.8987,19
"Ashford Hospitality Trust, Lodging/Resorts",06,,0.9872,19
"Easterly Government Properties, Office",06,,0.8834,19
"Braemar Hotels & Resorts, Inc., Lodging/Resorts",07,,0.4149,19
"NNN REIT, Inc., Retail",07,,0.7579,19
"STORE Capital Corporation, Retail",07,,0.8934,19
,07,,0.8885,19
,07,,0.9565,19
"Ryman Hospitality Properties, Inc., Lodging/Resorts",07,,0.9627,19
"Gladstone Land Corporation, Specialty",07,,0.6844,19
"ShopOne Centers REIT, Inc., Retail",07,,0.8897,19
"Alexander & Baldwin, Inc., Diversified",07,,0.9584,19
"W. P. Carey Inc., Diversified",07,,0.9752,19
"Physicians Realty Trust, Health Care",07,,0.9774,19
"CTO Realty Growth, Inc., Retail",07,,0.7128,19
,07,,0.9517,19
,07,,0.9217,19
"Essex Property Trust, Inc., Residential",07,,0.8555,19
"CBL Properties, Retail",07,,0.9217,19
"Extra Space Storage, Inc., Self-storage",07,,0.6369,19
,07,,0.9468,19
,07,,0.7845,19
"InvenTrust Properties Corp., Retail",07,,0.6808,19
"Kimco Realty Corporation, Retail",07,,0.9578,19
,07,,0.9552,19
,07,,0.9589,19
"STAG Industrial, Inc., Industrial",07,,0.6187,19
,07,,0.8777,19
"Farmland Partners Inc., Specialty",07,,0.9042,19
,08,,0.9625,19
"Lamar Advertising Company, Specialty",07,,0.6597,19
"Kite Realty Group Trust, Retail",07,,0.9169,19
,08,Industrial,0.9941,19
,09,,0.9452,19
"LXP Industrial Trust, Industrial",07,,0.9679,19
,10,,0.9797,19
,10,Specialty,0.9908,19
,10,Industrial,0.9927,19
"CubeSmart, Self-storage",07,,0.965,19
